device_count,no_of_tasks,Lan_delay,Failure_mob,Decision,fuzzy_probability,tilt_t2,tilt_t3
1296,297811,54.42,19.92,3,62.313,0,100
1795,412607,62.92,26.438,3,74.16,0,100
1227,279998,53.04,18.54,3,53.162,34.2,65.8
1369,316657,55.88,21.38,3,74.16,0,100
1167,266343,51.922,17.505,2,49.473,52.6,47.4
1301,299102,54.52,20.02,3,63.194,0,100
1060,244668,50.05,15.9,2,49.473,52.6,47.4
1458,337366,57.457,22.58,3,74.16,0,100
1500,346566,58.15,23.0,3,74.16,0,100
1572,362338,59.338,23.72,3,74.16,0,100
1380,319497,56.1,21.6,3,74.16,0,100
1888,442655,64.496,27.38,3,74.16,0,100
1950,463029,65.55,28.0,3,74.16,0,100
1900,446599,64.7,27.5,3,74.16,0,100
1147,262291,51.572,17.205,2,49.473,52.6,47.4
1992,476830,66.264,28.42,3,74.16,0,100
1613,371414,60.008,24.163,3,74.16,0,100
1117,256214,51.047,16.755,2,49.473,52.6,47.4
1290,296262,54.3,19.8,3,61.302,0,100
1961,466643,65.737,28.11,3,74.16,0,100
1359,314076,55.68,21.18,3,74.16,0,100
1033,239198,49.578,15.495,2,49.473,52.6,47.4
1632,375714,60.312,24.4,3,74.16,0,100
1814,418339,63.238,26.64,3,74.16,0,100
1574,362776,59.371,23.74,3,74.16,0,100
1332,307105,55.14,20.64,3,69.483,0,100
1698,390652,61.368,25.225,3,74.16,0,100
1545,356423,58.892,23.45,3,74.16,0,100
1713,394047,61.608,25.413,3,74.16,0,100
1837,425897,63.629,26.87,3,74.16,0,100
1509,348537,58.298,23.09,3,74.16,0,100
1157,264317,51.748,17.355,2,49.473,52.6,47.4
1411,327070,56.681,22.11,3,74.16,0,100
1749,402195,62.184,25.863,3,74.16,0,100
1580,368472,59.8,24.0,3,74.16,0,100
1397,324661,56.5,22.0,3,74.16,0,100
1073,232514,49.0,15.0,2,49.473,52.6,47.4
1175,273028,52.5,18.0,3,50.707,46.5,53.5
1695,368472,59.8,24.0,3,74.16,0,100
1564,368472,59.8,24.0,3,74.16,0,100
1786,413739,63.0,26.5,3,74.16,0,100
1733,413739,63.0,26.5,3,74.16,0,100
1065,232514,49.0,15.0,2,49.473,52.6,47.4
1910,479459,66.4,28.5,3,74.16,0,100
1138,273028,52.5,18.0,3,50.707,46.5,53.5
1445,324661,56.5,22.0,3,74.16,0,100
1516,368472,59.8,24.0,3,74.16,0,100
1837,413739,63.0,26.5,3,74.16,0,100
1551,368472,59.8,24.0,3,74.16,0,100
1396,324661,56.5,22.0,3,74.16,0,100
1019,232514,49.0,15.0,2,49.473,52.6,47.4
1458,324661,56.5,22.0,3,74.16,0,100
1979,479459,66.4,28.5,3,74.16,0,100
1605,368472,59.8,24.0,3,74.16,0,100
1043,232514,49.0,15.0,2,49.473,52.6,47.4
1460,324661,56.5,22.0,3,74.16,0,100
1434,324661,56.5,22.0,3,74.16,0,100
1985,479459,66.4,28.5,3,74.16,0,100
1628,368472,59.8,24.0,3,74.16,0,100
1306,324661,56.5,22.0,3,74.16,0,100
1131,273028,52.5,18.0,3,50.707,46.5,53.5
1017,232514,49.0,15.0,2,49.473,52.6,47.4
1615,368472,59.8,24.0,3,74.16,0,100
1336,324661,56.5,22.0,3,74.16,0,100
1314,324661,56.5,22.0,3,74.16,0,100
1865,413739,63.0,26.5,3,74.16,0,100
1337,324661,56.5,22.0,3,74.16,0,100
1554,368472,59.8,24.0,3,74.16,0,100
1533,368472,59.8,24.0,3,74.16,0,100
1051,232514,49.0,15.0,2,49.473,52.6,47.4
1089,232514,49.0,15.0,2,49.473,52.6,47.4
1852,413739,63.0,26.5,3,74.16,0,100
1285,273028,52.5,18.0,3,50.707,46.5,53.5
1598,368472,59.8,24.0,3,74.16,0,100
1917,479459,66.4,28.5,3,74.16,0,100
1316,324661,56.5,22.0,3,74.16,0,100
1677,368472,59.8,24.0,3,74.16,0,100
1031,232514,49.0,15.0,2,49.473,52.6,47.4
1649,368472,59.8,24.0,3,74.16,0,100
1801,413739,63.0,26.5,3,74.16,0,100
1697,368472,59.8,24.0,3,74.16,0,100
1271,273028,52.5,18.0,3,50.707,46.5,53.5
1442,324661,56.5,22.0,3,74.16,0,100
1645,368472,59.8,24.0,3,74.16,0,100
1062,232514,49.0,15.0,2,49.473,52.6,47.4
1786,413739,63.0,26.5,3,74.16,0,100
1909,479459,66.4,28.5,3,74.16,0,100
1380,324661,56.5,22.0,3,74.16,0,100
1147,273028,52.5,18.0,3,50.707,46.5,53.5
1151,273028,52.5,18.0,3,50.707,46.5,53.5
1173,273028,52.5,18.0,3,50.707,46.5,53.5
1606,368472,59.8,24.0,3,74.16,0,100
1238,273028,52.5,18.0,3,50.707,46.5,53.5
1458,324661,56.5,22.0,3,74.16,0,100
1519,368472,59.8,24.0,3,74.16,0,100
1245,273028,52.5,18.0,3,50.707,46.5,53.5
1029,232514,49.0,15.0,2,49.473,52.6,47.4
1858,413739,63.0,26.5,3,74.16,0,100
1871,413739,63.0,26.5,3,74.16,0,100
1323,324661,56.5,22.0,3,74.16,0,100
1819,413739,63.0,26.5,3,74.16,0,100
1242,273028,52.5,18.0,3,50.707,46.5,53.5
1358,324661,56.5,22.0,3,74.16,0,100
1303,324661,56.5,22.0,3,74.16,0,100
1022,232514,49.0,15.0,2,49.473,52.6,47.4
1766,413739,63.0,26.5,3,74.16,0,100
1476,324661,56.5,22.0,3,74.16,0,100
1037,232514,49.0,15.0,2,49.473,52.6,47.4
1386,324661,56.5,22.0,3,74.16,0,100
1169,273028,52.5,18.0,3,50.707,46.5,53.5
1978,479459,66.4,28.5,3,74.16,0,100
1015,232514,49.0,15.0,2,49.473,52.6,47.4
1264,273028,52.5,18.0,3,50.707,46.5,53.5
1419,324661,56.5,22.0,3,74.16,0,100
1570,368472,59.8,24.0,3,74.16,0,100
1276,273028,52.5,18.0,3,50.707,46.5,53.5
1224,273028,52.5,18.0,3,50.707,46.5,53.5
1099,232514,49.0,15.0,2,49.473,52.6,47.4
1851,413739,63.0,26.5,3,74.16,0,100
1166,273028,52.5,18.0,3,50.707,46.5,53.5
1736,413739,63.0,26.5,3,74.16,0,100
1571,368472,59.8,24.0,3,74.16,0,100
1658,368472,59.8,24.0,3,74.16,0,100
1947,479459,66.4,28.5,3,74.16,0,100
1520,368472,59.8,24.0,3,74.16,0,100
1694,368472,59.8,24.0,3,74.16,0,100
1768,413739,63.0,26.5,3,74.16,0,100
1357,324661,56.5,22.0,3,74.16,0,100
1289,273028,52.5,18.0,3,50.707,46.5,53.5
1595,368472,59.8,24.0,3,74.16,0,100
1690,368472,59.8,24.0,3,74.16,0,100
1312,324661,56.5,22.0,3,74.16,0,100
1929,479459,66.4,28.5,3,74.16,0,100
1419,324661,56.5,22.0,3,74.16,0,100
1015,232514,49.0,15.0,2,49.473,52.6,47.4
1296,273028,52.5,18.0,3,50.707,46.5,53.5
1495,324661,56.5,22.0,3,74.16,0,100
1110,273028,52.5,18.0,3,50.117,49.4,50.6
1525,368472,59.8,24.0,3,74.16,0,100
1926,479459,66.4,28.5,3,74.16,0,100
1334,324661,56.5,22.0,3,74.16,0,100
1743,413739,63.0,26.5,3,74.16,0,100
1096,232514,49.0,15.0,2,49.473,52.6,47.4
1132,273028,52.5,18.0,3,50.707,46.5,53.5
1148,273028,52.5,18.0,3,50.707,46.5,53.5
1870,413739,63.0,26.5,3,74.16,0,100
1077,232514,49.0,15.0,2,49.473,52.6,47.4
1404,324661,56.5,22.0,3,74.16,0,100
1425,324661,56.5,22.0,3,74.16,0,100
1537,368472,59.8,24.0,3,74.16,0,100
1244,273028,52.5,18.0,3,50.707,46.5,53.5
1628,368472,59.8,24.0,3,74.16,0,100
1325,324661,56.5,22.0,3,74.16,0,100
1614,368472,59.8,24.0,3,74.16,0,100
1047,232514,49.0,15.0,2,49.473,52.6,47.4
1127,273028,52.5,18.0,3,50.707,46.5,53.5
1166,273028,52.5,18.0,3,50.707,46.5,53.5
1658,368472,59.8,24.0,3,74.16,0,100
1538,368472,59.8,24.0,3,74.16,0,100
1158,273028,52.5,18.0,3,50.707,46.5,53.5
1368,324661,56.5,22.0,3,74.16,0,100
1837,413739,63.0,26.5,3,74.16,0,100
1666,368472,59.8,24.0,3,74.16,0,100
1645,368472,59.8,24.0,3,74.16,0,100
1379,324661,56.5,22.0,3,74.16,0,100
1036,232514,49.0,15.0,2,49.473,52.6,47.4
1644,368472,59.8,24.0,3,74.16,0,100
1339,324661,56.5,22.0,3,74.16,0,100
1634,368472,59.8,24.0,3,74.16,0,100
1296,273028,52.5,18.0,3,50.707,46.5,53.5
1610,368472,59.8,24.0,3,74.16,0,100
1105,273028,52.5,18.0,2,49.791,51.0,49.0
1104,273028,52.5,18.0,2,49.727,51.4,48.6
1229,273028,52.5,18.0,3,50.707,46.5,53.5
1869,413739,63.0,26.5,3,74.16,0,100
1061,232514,49.0,15.0,2,49.473,52.6,47.4
1461,324661,56.5,22.0,3,74.16,0,100
1793,413739,63.0,26.5,3,74.16,0,100
1449,324661,56.5,22.0,3,74.16,0,100
1558,368472,59.8,24.0,3,74.16,0,100
1645,368472,59.8,24.0,3,74.16,0,100
1794,413739,63.0,26.5,3,74.16,0,100
1934,479459,66.4,28.5,3,74.16,0,100
1244,273028,52.5,18.0,3,50.707,46.5,53.5
1946,479459,66.4,28.5,3,74.16,0,100
1277,273028,52.5,18.0,3,50.707,46.5,53.5
1360,324661,56.5,22.0,3,74.16,0,100
1375,324661,56.5,22.0,3,74.16,0,100
1945,479459,66.4,28.5,3,74.16,0,100
1738,413739,63.0,26.5,3,74.16,0,100
1773,413739,63.0,26.5,3,74.16,0,100
1144,273028,52.5,18.0,3,50.707,46.5,53.5
1554,368472,59.8,24.0,3,74.16,0,100
1973,479459,66.4,28.5,3,74.16,0,100
1426,324661,56.5,22.0,3,74.16,0,100
1578,368472,59.8,24.0,3,74.16,0,100
1889,413739,63.0,26.5,3,74.16,0,100
1245,273028,52.5,18.0,3,50.707,46.5,53.5
1407,324661,56.5,22.0,3,74.16,0,100
1427,324661,56.5,22.0,3,74.16,0,100
1548,368472,59.8,24.0,3,74.16,0,100
1143,273028,52.5,18.0,3,50.707,46.5,53.5
1340,324661,56.5,22.0,3,74.16,0,100
1962,479459,66.4,28.5,3,74.16,0,100
1157,273028,52.5,18.0,3,50.707,46.5,53.5
1276,273028,52.5,18.0,3,50.707,46.5,53.5
1673,368472,59.8,24.0,3,74.16,0,100
1010,232514,49.0,15.0,2,49.473,52.6,47.4
1462,324661,56.5,22.0,3,74.16,0,100
1005,232514,49.0,15.0,2,49.473,52.6,47.4
1341,324661,56.5,22.0,3,74.16,0,100
1249,273028,52.5,18.0,3,50.707,46.5,53.5
1377,324661,56.5,22.0,3,74.16,0,100
1694,368472,59.8,24.0,3,74.16,0,100
1368,324661,56.5,22.0,3,74.16,0,100
1936,479459,66.4,28.5,3,74.16,0,100
1368,324661,56.5,22.0,3,74.16,0,100
1933,479459,66.4,28.5,3,74.16,0,100
1732,413739,63.0,26.5,3,74.16,0,100
1210,273028,52.5,18.0,3,50.707,46.5,53.5
1620,368472,59.8,24.0,3,74.16,0,100
1045,232514,49.0,15.0,2,49.473,52.6,47.4
1478,324661,56.5,22.0,3,74.16,0,100
1762,413739,63.0,26.5,3,74.16,0,100
1846,413739,63.0,26.5,3,74.16,0,100
1586,368472,59.8,24.0,3,74.16,0,100
1739,413739,63.0,26.5,3,74.16,0,100
1058,232514,49.0,15.0,2,49.473,52.6,47.4
1286,273028,52.5,18.0,3,50.707,46.5,53.5
1996,479459,66.4,28.5,3,74.16,0,100
1188,273028,52.5,18.0,3,50.707,46.5,53.5
1302,324661,56.5,22.0,3,74.16,0,100
1216,273028,52.5,18.0,3,50.707,46.5,53.5
1440,324661,56.5,22.0,3,74.16,0,100
1192,273028,52.5,18.0,3,50.707,46.5,53.5
1722,413739,63.0,26.5,3,74.16,0,100
1006,232514,49.0,15.0,2,49.473,52.6,47.4
1983,479459,66.4,28.5,3,74.16,0,100
1836,413739,63.0,26.5,3,74.16,0,100
1385,324661,56.5,22.0,3,74.16,0,100
1513,368472,59.8,24.0,3,74.16,0,100
1203,273028,52.5,18.0,3,50.707,46.5,53.5
1360,324661,56.5,22.0,3,74.16,0,100
1301,324661,56.5,22.0,3,74.16,0,100
1051,232514,49.0,15.0,2,49.473,52.6,47.4
1996,479459,66.4,28.5,3,74.16,0,100
1214,273028,52.5,18.0,3,50.707,46.5,53.5
1374,324661,56.5,22.0,3,74.16,0,100
1468,324661,56.5,22.0,3,74.16,0,100
1304,324661,56.5,22.0,3,74.16,0,100
1618,368472,59.8,24.0,3,74.16,0,100
1368,324661,56.5,22.0,3,74.16,0,100
1852,413739,63.0,26.5,3,74.16,0,100
1238,273028,52.5,18.0,3,50.707,46.5,53.5
1149,273028,52.5,18.0,3,50.707,46.5,53.5
1308,324661,56.5,22.0,3,74.16,0,100
1106,273028,52.5,18.0,2,49.855,50.7,49.3
1134,273028,52.5,18.0,3,50.707,46.5,53.5
1709,413739,63.0,26.5,3,74.16,0,100
1170,273028,52.5,18.0,3,50.707,46.5,53.5
1919,479459,66.4,28.5,3,74.16,0,100
1871,413739,63.0,26.5,3,74.16,0,100
1012,232514,49.0,15.0,2,49.473,52.6,47.4
1369,324661,56.5,22.0,3,74.16,0,100
1036,232514,49.0,15.0,2,49.473,52.6,47.4
1750,413739,63.0,26.5,3,74.16,0,100
1850,413739,63.0,26.5,3,74.16,0,100
1626,368472,59.8,24.0,3,74.16,0,100
1018,232514,49.0,15.0,2,49.473,52.6,47.4
1917,479459,66.4,28.5,3,74.16,0,100
1164,273028,52.5,18.0,3,50.707,46.5,53.5
1707,413739,63.0,26.5,3,74.16,0,100
1629,368472,59.8,24.0,3,74.16,0,100
1532,368472,59.8,24.0,3,74.16,0,100
1189,273028,52.5,18.0,3,50.707,46.5,53.5
1491,324661,56.5,22.0,3,74.16,0,100
1358,324661,56.5,22.0,3,74.16,0,100
1838,413739,63.0,26.5,3,74.16,0,100
1229,273028,52.5,18.0,3,50.707,46.5,53.5
1908,479459,66.4,28.5,3,74.16,0,100
1700,368472,59.8,24.0,3,74.16,0,100
1377,324661,56.5,22.0,3,74.16,0,100
1898,413739,63.0,26.5,3,74.16,0,100
1849,413739,63.0,26.5,3,74.16,0,100
1826,413739,63.0,26.5,3,74.16,0,100
1201,273028,52.5,18.0,3,50.707,46.5,53.5
1896,413739,63.0,26.5,3,74.16,0,100
1661,368472,59.8,24.0,3,74.16,0,100
1839,413739,63.0,26.5,3,74.16,0,100
1144,273028,52.5,18.0,3,50.707,46.5,53.5
1823,413739,63.0,26.5,3,74.16,0,100
1696,368472,59.8,24.0,3,74.16,0,100
1647,368472,59.8,24.0,3,74.16,0,100
1623,368472,59.8,24.0,3,74.16,0,100
1664,368472,59.8,24.0,3,74.16,0,100
1303,324661,56.5,22.0,3,74.16,0,100
1941,479459,66.4,28.5,3,74.16,0,100
1705,413739,63.0,26.5,3,74.16,0,100
1701,413739,63.0,26.5,3,74.16,0,100
1692,368472,59.8,24.0,3,74.16,0,100
1996,479459,66.4,28.5,3,74.16,0,100
1364,324661,56.5,22.0,3,74.16,0,100
1945,479459,66.4,28.5,3,74.16,0,100
1006,232514,49.0,15.0,2,49.473,52.6,47.4
1378,324661,56.5,22.0,3,74.16,0,100
1562,368472,59.8,24.0,3,74.16,0,100
1067,232514,49.0,15.0,2,49.473,52.6,47.4
1881,413739,63.0,26.5,3,74.16,0,100
1000,232514,49.0,15.0,2,49.473,52.6,47.4
1341,324661,56.5,22.0,3,74.16,0,100
1843,413739,63.0,26.5,3,74.16,0,100
1782,413739,63.0,26.5,3,74.16,0,100
1328,324661,56.5,22.0,3,74.16,0,100
1484,324661,56.5,22.0,3,74.16,0,100
1031,232514,49.0,15.0,2,49.473,52.6,47.4
1198,273028,52.5,18.0,3,50.707,46.5,53.5
1115,273028,52.5,18.0,3,50.451,47.699999999999996,52.300000000000004
1145,273028,52.5,18.0,3,50.707,46.5,53.5
1777,413739,63.0,26.5,3,74.16,0,100
1448,324661,56.5,22.0,3,74.16,0,100
1753,413739,63.0,26.5,3,74.16,0,100
1813,413739,63.0,26.5,3,74.16,0,100
1469,324661,56.5,22.0,3,74.16,0,100
1431,324661,56.5,22.0,3,74.16,0,100
1564,368472,59.8,24.0,3,74.16,0,100
1308,324661,56.5,22.0,3,74.16,0,100
1658,368472,59.8,24.0,3,74.16,0,100
1173,273028,52.5,18.0,3,50.707,46.5,53.5
1978,479459,66.4,28.5,3,74.16,0,100
1870,413739,63.0,26.5,3,74.16,0,100
1519,368472,59.8,24.0,3,74.16,0,100
1545,368472,59.8,24.0,3,74.16,0,100
1152,273028,52.5,18.0,3,50.707,46.5,53.5
1649,368472,59.8,24.0,3,74.16,0,100
1898,413739,63.0,26.5,3,74.16,0,100
1541,368472,59.8,24.0,3,74.16,0,100
1504,368472,59.8,24.0,3,74.16,0,100
1408,324661,56.5,22.0,3,74.16,0,100
1874,413739,63.0,26.5,3,74.16,0,100
1078,232514,49.0,15.0,2,49.473,52.6,47.4
1371,324661,56.5,22.0,3,74.16,0,100
1987,479459,66.4,28.5,3,74.16,0,100
1700,368472,59.8,24.0,3,74.16,0,100
1609,368472,59.8,24.0,3,74.16,0,100
1888,413739,63.0,26.5,3,74.16,0,100
1700,368472,59.8,24.0,3,74.16,0,100
1069,232514,49.0,15.0,2,49.473,52.6,47.4
1300,273028,52.5,18.0,3,50.707,46.5,53.5
1017,232514,49.0,15.0,2,49.473,52.6,47.4
1288,273028,52.5,18.0,3,50.707,46.5,53.5
1583,368472,59.8,24.0,3,74.16,0,100
1119,273028,52.5,18.0,3,50.707,46.5,53.5
1064,232514,49.0,15.0,2,49.473,52.6,47.4
1610,368472,59.8,24.0,3,74.16,0,100
1525,368472,59.8,24.0,3,74.16,0,100
1469,324661,56.5,22.0,3,74.16,0,100
1319,324661,56.5,22.0,3,74.16,0,100
1047,232514,49.0,15.0,2,49.473,52.6,47.4
1629,368472,59.8,24.0,3,74.16,0,100
1587,368472,59.8,24.0,3,74.16,0,100
1086,232514,49.0,15.0,2,49.473,52.6,47.4
1572,368472,59.8,24.0,3,74.16,0,100
1006,232514,49.0,15.0,2,49.473,52.6,47.4
1041,232514,49.0,15.0,2,49.473,52.6,47.4
1134,273028,52.5,18.0,3,50.707,46.5,53.5
1191,273028,52.5,18.0,3,50.707,46.5,53.5
1691,368472,59.8,24.0,3,74.16,0,100
1459,324661,56.5,22.0,3,74.16,0,100
1957,479459,66.4,28.5,3,74.16,0,100
1122,273028,52.5,18.0,3,50.707,46.5,53.5
1443,324661,56.5,22.0,3,74.16,0,100
1523,368472,59.8,24.0,3,74.16,0,100
1959,479459,66.4,28.5,3,74.16,0,100
1412,324661,56.5,22.0,3,74.16,0,100
1866,413739,63.0,26.5,3,74.16,0,100
1332,324661,56.5,22.0,3,74.16,0,100
1692,368472,59.8,24.0,3,74.16,0,100
1718,413739,63.0,26.5,3,74.16,0,100
1714,413739,63.0,26.5,3,74.16,0,100
